"cleaning_fee","beds","host_response_time","host_is_superhost","neighbourhood_Bronx","neighbourhood_Brooklyn","neighbourhood_Manhattan","neighbourhood_Queens","neighbourhood_Staten","latitude","longitude","room_apt","room_private","room_shared","accommodates","bathrooms","bedrooms","guests_included","transit","access","minimum_nights","calculated_host_listings_count","property_type","review_scores_rating","reviews_per_month","is_business_travel_ready","review_scores_cleanliness","review_scores_checkin","is_location_exact","review_scores_location","review_scores_value","cancellation_policy","availability_30","availability_60","availability_90","availability_365","bed_airbed","bed_couch","bed_futon","bed_sofa","bed_real","instant_bookable","wifi","heat","air","kitcken","shampoo","essential","tv","gym","washer","dryer","fridge","self_check","hair","smart","aid","hanger","co"
25,2,3,0,0,0,1,0,0,762.600472970803,306.955006637594,1,0,0,3,1,1,1,1,1,1,1,0,88,0.26,0,9,10,1,10,9,3,8,16,17,17,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
50,2,1,0,0,0,1,0,0,765.508591921503,313.687198004601,1,0,0,2,1,1,2,0,0,1,1,0,93,0.53,0,8,10,1,10,9,3,0,0,2,2,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1
50,2,0,0,0,1,0,0,0,661.196562818802,305.773225869103,1,0,0,4,1.5,3,4,0,1,4,1,0,97,0.02,0,10,10,1,8,10,3,23,53,83,358,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1
100,1,6,0,0,0,1,0,0,735.304677395199,294.753408654302,1,0,0,1,1,1,1,1,1,3,1,0,96,0.23,0,9,9,1,10,9,3,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1
50,1,6,1,0,0,1,0,0,789.624133720103,351.97983614519,0,1,0,1,1,1,1,1,1,4,2,0,97,2.21,0,10,10,1,10,10,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
50,2,10,0,0,0,1,0,0,788.189595225703,331.779503618293,1,0,0,4,1,1,1,0,0,3,1,0,95,0.14,0,9,10,1,10,9,2,5,5,12,195,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,10,0,0,1,0,0,0,680.006291788402,321.354917780099,0,1,0,3,1,1,2,1,1,2,7,0,90,0.51,0,9,9,1,10,9,1,0,2,32,307,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1
90,4,10,0,0,1,0,0,0,683.710748997598,359.722257570994,1,0,0,5,1,1,4,1,1,2,2,0,95,0.54,0,10,10,1,9,9,3,8,17,19,199,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0
0,1,6,0,0,1,0,0,0,722.193173356096,362.380579576595,0,1,0,2,1.5,1,1,1,1,4,3,0,80,1.7,0,6,9,1,8,8,2,2,26,56,331,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0
30,1,10,0,0,0,1,0,0,722.901227616496,318.009612744191,0,1,0,2,1,1,1,1,1,2,2,0,86,2.12,0,8,10,1,9,9,3,0,3,33,33,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1
250,4,10,1,0,1,0,0,0,684.7400009596,333.177641915597,1,0,0,6,2.5,3,4,1,1,3,1,0,99,0.44,1,10,10,1,10,10,2,30,60,89,151,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
50,2,0,0,0,1,0,0,0,717.865078873899,340.922750818294,1,0,0,2,1,1,1,1,1,7,1,0,94,0.58,0,8,10,1,10,10,3,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1
50,1,3,0,0,1,0,0,0,661.439067281499,353.0487298015,0,1,0,3,1.5,1,1,1,1,1,1,0,60,0.27,0,2,8,1,10,6,2,30,60,90,365,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
50,1,6,0,0,1,0,0,0,635.531280392698,340.132452420193,1,0,0,2,2,1,2,1,1,4,2,0,100,0.08,0,9,9,1,9,9,3,30,60,90,365,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
120,3,0,0,0,1,0,0,0,686.6158266008,367.2475011834,1,0,0,4,1,2,1,1,0,2,7,0,88,0.1,0,9,9,1,8,8,3,30,60,90,365,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
95,1,0,0,0,1,0,0,0,685.238014933198,368.566173995504,0,1,0,2,0,1,1,0,0,2,7,0,81,0.24,0,9,10,1,8,8,3,30,60,90,365,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
25,2,3,0,0,1,0,0,0,689.996609710398,332.121711474002,0,1,0,2,1,1,1,1,1,7,1,0,92,0.27,0,9,10,1,9,9,3,3,33,63,338,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1
50,1,0,0,0,1,0,0,0,654.234104218297,340.791029641693,0,1,0,1,1,1,1,1,1,1,1,0,96,0.36,0,10,10,1,9,9,3,29,59,89,364,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1
75,1,6,0,0,0,1,0,0,722.519728744501,305.590950552897,1,0,0,2,1,1,1,1,1,6,1,0,95,0.65,0,9,10,1,10,9,3,12,42,72,72,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
40,1,1,0,0,0,1,0,0,763.419225249798,311.345874582003,0,1,0,1,1,1,1,1,1,10,1,0,87,0.41,0,9,10,1,10,9,2,2,21,29,255,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
